label,narrative
Aircraft,Previous flight was an RON (Routine Overnight).  Dark aircraft upon crew arrival at the gate.  Started the APU and used it for air and power at gate. After both engines were started and APU bleed was deselected; we began taxi. Within approximately one minute; both the FO (First Officer) and I began smelling a strong 'dirty socks' smell in the cockpit. We deselected both packs and called the inflight to determine if they had smelled it as well. It was confirmed that they had the odor in the cabin as well. We coordinated a gate return for maintenance action.  Company report form completed. This report is being submitted solely because it is recommended: there was no cockpit crew error or deviation.
Aircraft,Electrical burning odor was coming from [middle] seat 4A.Flight attendants used PBE (Portable Breathing equipment) and Halon [fire extinguisher] on the seat.Flight Attendant passed out under the PBE and was feeling unwell after the event.2 MD's and 1 EMT attended to the Flight Attendant and deemed him fit to continue with his concurrence. Dispatch was notified and all agreed to continue to ZZZ.I asked inflight to advise me of any adverse changes enroute but there were none reported. Medical assistance met the flight in ZZZ but he refused care upon deplaning.
Aircraft,During pushback; I received a call from the Flight Attendant concerning a loud noise coming from the aircraft forward right side. At the same time; I began smelling fumes on the flight deck; so I told the Flight Attendant 'I will get back with you'.I commanded oxygen masks on and established communication. I asked the First Officer to request a return to the gate; as I performed the Flight Crew Operations Manual isolation guide checklist.Upon return to the gate; we deplaned the aircraft promptly; and the appropriate logbook entries were made.
Aircraft,Shortly after takeoff we experienced a dirty sock/fume event that was isolated only in the flight deck. Both myself and the First Officer put on our oxygen mask to abate the smell. The odor dissipated within 15 minutes of departure. Upon descent the dirty sock smell came back this time more prominent. We tried to isolate the smell by using the odor isolation procedure in the Flight Crew Operations Manuel with no help in getting the dirty sock smell to dissipate. The odor was first only in the flight deck on descent but then spread throughout the cabin.
Weather,Aircraft X was taxied to the ramp off runway XXL by local control via taxiway E; H; M; to the ramp. I was working Local and obtained approval to taxi in Aircraft X from ground control in order to discuss with the pilot braking action; and other pertinent weather information for the safety of the operation. Once Aircraft X was on taxiway H approaching taxiway M; a snow plow cut off Aircraft X and began sliding and finally came to a stop to avoid the snowplow. Airport operations had a vehicle on my frequency and heard the report and stated he would take care of it. I advised the FLM of the situation and gave him the airport operators cell phone number.  Later I was told that the plow cut off Aircraft X because they monitor the ground control frequency and never knew he was coming as I kept him on tower frequency.  Seems like the blame game is being played here because airport operations snow crew lost sight of the see and avoid aircraft. Airport operations and snow crews should monitor all frequencies at all times if the option exists.
Aircraft,At FL390 Lead FA [Flight Attendant] called up to say a burning; electrical smell was coming from forward galley overhead gasper. I had him check the ovens and coffee makers and also check for popped breakers. He said they were fine. I then had him feel the panels to see if any were hot and he said none were.We ran the Smoke Fire or Fumes checklist. It had no effect and the smell continued. I went back and confirmed it was not a burning food smell. It smelled like hot metal and oil and was not abating. The checklist directed us to divert to the nearest suitable if the fumes continued or the source could not be identified. We diverted to ZZZ.We continued the checklist while also [requesting priority handling] and notifying Dispatch. We used our oxygen masks as directed by the checklist and completed all the applicable checklists for the divert.Once we landed and cleared the runway I had [Airport Rescue & Fire Fighting support] confirm there was no visible smoke or fire and we then taxied to a gate.
Human Factors,We pushed from the gate without the Final Dangerous Goods Summary. Dangerous goods were not loaded. We did not start the taxi until after receiving the Final Dangerous Goods Summary. We pushed late do to engine deicing at the gate . Weather was a distraction.
Human Factors,"Flight from ZZZ to ZZZZ; routine through the departure and enroute phases of flight. Planning on landing on Runway XX visually; using the RNAV approach as reference. It was my first time flying into ZZZZ and the Captain had briefed me that this would be different than most operations I was used to. Descending as we approached ZZZZ; Captain asked me to cancel our IFR as we were able to maintain VFR. I complied and we were handed off from Approach to the field's UNICOM. As we began our approach; we noticed a small rain shower over where the field is located. We briefed the possibility of abandoning our approach if the rain affected our ability to see the runway. Around this time an aircraft landing in front of us called us over UNICOM to inform us that they had no issues on their approach to land and they reported improved conditions from what we previously expected.The Captain; who was flying; began a descent and I noticed he was starting to descend below the 2;300 ft. altitude at ZZZZZ."" I spoke up and reminded him of the altitude at that waypoint and he took corrective action. Passing ZZZZZ on final for the runway; he began another descent; this time down to an altitude of around 600 ft. roughly 4 miles from the runway; and it was at this time that I was able to clearly see the runway and called it in sight. However; the Captain had seen it before me since I was not familiar with this airport. Although we were still maintaining VFR; this descent put us about 600 ft. above the water still roughly 4 miles from the runway. Passing the FAF; the Captain continued down to the published minimums for the approach; rounded up to 400 ft. It was at this altitude over the land that we received a GPWS alert. This surprised us both as we were above published minimums and had visual of the runway and all land and obstacle between us and the runway in sight. The alert disappeared as I looked and noticed my RA showed 400 ft.; still above published minimums. With the alert gone [and] runway and all terrain in sight; we continued our approach to land and the remainder of the flight was uneventful.This was my first time flying into ZZZZ2; including ZZZZ; and at the time only had 60 hours in the aircraft as a First Officer. The Captain previously elected earlier in the trip to fly both legs into and out of ZZZZ since it presents unique challenges being an uncontrolled; short runway; island airport in ZZZZ2 with unique weather requirements for dispatch. During the flight the Captain explained how different this flight would be compared to what I was used to in my short time at the airline. This prepared me to expect some differences; especially in the approach to landing phase of flight. The Captain briefed me his plans for the approach; including approaching the field VFR. Starting the descent early to 600 ft. was something that I rationalized to myself as being part of the differences to be expected as the Captain previously explained why he was doing so. This resulted in us flying lower to the ocean further out from the runway than we should have been and likely the reason for the GPWS alert upon reaching our rounded minimums after the FAF being referenced.Looking back; even though it was my first time flying into this unique operating environment with an experienced Captain; I should have been more aware of how low we were compared to how far we were from the runway and queried the Captain further on this and call for the approach to be abandoned. During our post-flight debrief I brought up the GPWS alert and asked if this was something we should report and the Captain assured me it was not necessary and dismissed this as saying he could just explain what he was doing to whoever might ask. Going forward I know this should not be the case and reports should be filed if there is any question of their need or warrant.I would welcome additional training for operations into international airports such as ZZZZ which have unique operationalchallenges and potential hazards; especially for relatively inexperienced new first officers like myself."""
Environment - Non Weather Related,At about 40 NM east; northeast of IAH at 10;000 ft. we experienced what we thought to be a 5G event. We first became aware of it by the gear warning horn sounding and 3 red gear lights illuminating above the gear handle. It only lasted a couple of seconds; and then it flickered and sounded again. This time the Captain noticed his radio altimeter rapidly fluttering from around 1000 ft. to 1200 ft. This happened intermittently about 3 to4 times until it stopped. It all happened very quickly and I would say we hadn't traveled more than 5 miles from when it started to when it stopped. The warning horn was so loud and distracting it was hard to hear ATC; or ourselves for that matter.
Ambiguous,Climbing through approximately 2;300 feet MSL we received a 'One-thousand' radio altitude callout. We reported this to Portland Departure and continued our climb. As we passed through approximately 11;600 ft. we received a 'Ten' radio altitude callout at which time our auto-throttles simultaneously disconnected. We reported the event to Seattle Center. I went heads down to report the occurrences to the Company via ACARS and failed to recognize we climbed through FL180 and failed to complete the after take-off checklist; most importantly failed to reset the altimeters to 29.92. We leveled at FL370 for less than a minute with the altimeters set to the departure airport; this put us at approximately FL367. We corrected the altimeters and completed level off at FL370. I got distracted by abnormal radio altitude callouts and auto-throttle disconnect due to 5G interference. I was pre-disposed to think the implementation would be a non-event and was surprised to experience actual interference events. I then rushed to comply with company reporting requirements; which should have waited until the next phase of flight. Suggestions - Delay the company reporting; which causes head down time until level at cruise. I personally needed to maintain better checklist and PM (Pilot Monitoring) discipline during this event.
Aircraft,While on approach about 7 miles out our autothrottles failed. Only reporting because of recent 5G concerns. Flight continued without incident.
Ambiguous,Second time this happened today in 2 separate aircraft at two separate airports. While on final approach just about at the final approach fix; the autothrottles disengaged. Concerned about possible 5G issues.
Environment - Non Weather Related,5G radio interference. At 100 ft. AGL had 'Flare Fail' in heads up display with no flare cue. Altitude call outs were normal. Roll out of 5G telecom. Don't allow 5G telecom near airports!
Aircraft,I was PF (Pilot Flying) and the Captain was PM (Pilot Monitoring). Due to wind shear we briefed a bleeds off takeoff as a threat. I wrote on my SID plate with the highlighter function 'BLEEDS' as a reminder to double check that we got them back on. I confirmed the bleed switch positions were on as we climbed above acceleration height. Climbing out of ZZZ through approximately 11;500 ft. we got a CABIN PRESS warning. We stopped our climb at 12;000 ft. advised ATC and requested a vector to turn us away from the mountains for our descent and were cleared to descend to 7000 ft. I called for the CABIN PRESS warning checklist and took over ATC communication while the captain worked through the checklists and other communication. We received further vectors and continued our descent to return to ZZZ.The APU Bleed was MELd by Maintenance while we were at the gate. Whether related or not it would have been a good idea to pay closer attention to the overall bleed air systems and we may have caught on earlier that something wasn't right.
Aircraft,Departed [Runway] XXL out of ZZZ. Climbing through 7;000 feet for 13;000 feet the right bleed air fail annunciator illuminated with the bleed air valve in the open position. I notified ATC promptly and told them I'd like to stop climb at 13;000 feet and troubleshoot the problem. I ran the appropriate checklist; requested priority handling; and told ATC I would like to return to ZZZ.  They assigned me to land on [Runway] XXL and I landed without further incident and the airplane had no visible damage. Crew was not injured.
Human Factors,During pushback it was realized that we have not received a final dangerous goods report. After pushback; I requested report using miscellaneous DG. We received the report without further issue.
Ambiguous,While at TPA Gate the Captains Radar altimeter fluctuated from approximately -90 ft. to 400 ft. Multiple callouts were observed such as 'retard' and various altitudes. Further; the nav FMA went from armed to captured.The malfunction rectified itself and we safely departed. An information write-up was entered into the logbook and Maintenance checked the radar altimeter in ZZZ. No errors found.I've been flying an aircraft with a radar altimeter for years and never once have I seen a malfunction such as this until the 5G turn on. Coincidence? Probably not.
Environment - Non Weather Related,First Officer spotted a white medium sized drone within a couple hundred feet to the right side of aircraft at 700 feet and [on a] two mile final [to] Runway 22L EWR. Continued normal approach and landing. Reported to ATC; Dispatch; Chief Pilot; and Airport Authority.
Ambiguous,Possible confusion in planning and filing due to cut over to 5G.
Weather,After deicing (TYPE I&IV) application; conducted physical check at gate. Taxied to Runway XXC. Took about 12 minutes. (HOT was 2 hrs). Set icing level to 2. Took off and rotated at Vr. The aircraft started pitch up without normal back pressure and kept pitching up quicker and higher without PF (Pilot Flying) input. Yolk needed to be pushed forward to maintain normal 9 degree pitch. Pitch trim was not responding from both switches on Yolk and STBY. CCAS (Centralized Crew Alerting System) announced icing and selected level 3 at 3000 ft. Hard to maintain altitude and advised ATC to return to ILSXXC. After landing and taxing to[ramp] observed ice accumulation on many aircraft surfaces during post flight. After takeoff rotation; aircraft kept pitching up without PF input.Maintenance suspected that there was ice inside of the pitch trim system. Manually flew aircraft without pitch trim and requested to return to ILSXXC at ZZZ.Should observe all flight control surface movements from outside after deicing application.
Aircraft,After pushback and engine start; we taxied to Runway 30L. All checklists were complete and the aircraft was fully configured for takeoff. The First Officer was flying. Upon setting T/O thrust; we received the T/O configuration warning aural and light. We rejected the takeoff (low speed; maybe 15 kts) and vacated the runway. We reran every checklist from the beginning and found no faults with the airplane configuration. There were no systems faulted. All circuit breakers were in. After talking with Maintenance; we returned to the gate for troubleshooting. We are unsure why we received this warning. Maintenance is still troubleshooting at the time of this report.
Aircraft,Moments after level-off in ZZZZ airspace; the Captain's Primary Flight Display (PFD) lost all data. Only the artificial horizon; amber SPD flag and amber ALT flag remained. The First Officer PFD retained all data and the B autopilot remained engaged. About a minute after the loss of the Captain PFD; all information returned. A complete review of Airspeed Unreliable checklist was completed. About five minutes later; the problem returned for about double the time (2 minutes). We contacted Dispatch and had them bring 737 Maintenance into the crew phone app connection. After a brief discussion; it was determined the aircraft would be grounded at our destination ZZZZ1 and it would be best to return to ZZZ (350 miles away) to have the problem resolved. We landed in ZZZ uneventfully without declaring an emergency (the Captain's PFD was working normally during the descent and arrival). Background information: Two days prior to our departure; the AML noted a ladder had fallen on the Captain window and AOA (Angle Of Attack) vane. The Captain window was replaced.
Environment - Non Weather Related,On departure; [we] received [an] UNABLE RNP EICAS message. [We] believed [the message] to have been directly related to [a] local 5G NOTAM. Due to ATC informing us of [a] previous departure receiving effects of 5G-related malfunctions; [we] strongly believe this to be related to 5G near PDX. 5G near airports is a safety issue affecting automation and navigation.
Environment - Non Weather Related,Due to traffic I was unable to request RNAV visual; on the base to final (which is challenging due to rising terrain) I failed to maintain good situational awareness to the tight turn to final. The gusty wind off the terrain created a lot of my attention to airspeed management and the turn on to see the VASI was difficult due to sun glare. As a result my turn on [final] was four red; I promptly corrected for a normal landing.
Environment - Non Weather Related,Memo indicated that there might be a Thrust Reverser deployment issue as a result of RA (Radar Altimeter) interference because of 5G C-Band deployment. I was PM (Pilot Monitoring) and the FO (First Officer) was PF (Pilot Flying). Landing on 35R in DFW everything was normal throughout the approach. When in the final landing phase where the airplane uses the RA to call out 50; 40; 30; 20; 10 - we did not receive the 10 foot call. On landing the FO indicated that the thrust reversers would not deploy. I looked at the EICAS (Engine Indicating and Crew Alerting System) display and they were armed. I looked at the switches as well. I took the controls and tried myself and indeed they would not deploy. NO REV Icon was displayed on the EICAS. They behaved exactly as they do when not armed. We exited the runway and I noted that the [Spoiler System] message was still deployed which seemed odd; but upon stopping it went away. I retried the reversers to see if they would unlock and they did and did indicate REV on the EICAS display.I am unsure if 5G C-band is even turned on in the DFW area. So I cannot say for sure this was interference. However; talking to MX (Maintenance) Control when I called them; they said [cellular company] did have their C-band turned on in the DFW area.
Aircraft,This event occurred during Takeoff roll on Runway 27R in ATL. Captain and First Officer received a predictive wind shear warning between 80-100 kts; during calm wind conditions. Other weather conditions/reports did not constitute a wind shear event ie: convective activity; strong winds or microbursts. The ATIS was reporting calm winds and no other aircraft that were taking off or landing reported any type of wind shear activity. We believed this to be an erroneous alert because the message lasted approximately 3 seconds and then extinguished. We continued the takeoff and experienced no wind shear during climb out. We believed the message to be erroneous because the weather conditions were not conducive for wind-shear activity. There could've been a glitch in the system. Also being very new to the aircraft and it's systems could've played a part. During training were only trained on wind shear events during poor weather conditions. We have a flow chart that we use to determine if wind shear conditions exist. There were no conditions that even led us to the chart nor any weather reports or ATC/Pilot reports of any kind of possible wind-shear. The AOM (Aircraft Operating Manual) states we must reject the takeoff for any predictive wind shear message prior to V1. However; due to the fluid nature of the situation we deemed it safer to continue the take-off. Perhaps understanding our own human factors and incorporating guidance found in the AOM in a more timely manner; this could've been prevented.
Aircraft,Advanced the trust levers to 1.5 and got a caution light for ECAM message nav something or other; and then got ecam blue message that it was in test mode and then retard aural. Rejected takeoff at maybe 10 knots and taxied off the Runway by now the aircraft had fixed itself. Did another before takeoff checklist and took off.
Aircraft,Dirty sock smell while descending into ZZZ around 20;000 feet. Mild smell in cockpit but stronger in front of cabin. Smell lasted 4-5 minutes. The plane has another fumes event 6 days prior.
Aircraft,On approach to ZZZZ airport ATC instructed us to Maintain 300 Knots. ATC further instructed us to slow to 250 Knots. After slowing to 250 Knots and just after the chime below 10;000 I receive a call from [Flight Attendant name 1]; informing me of a strong odor I the back of the aircraft. I informed her that we were flying direct to the airport and the safest option was to proceed to the airport and that we would be landing inappropriately 10 minutes. After landing we called the cabin to ascertain the situation.  We were told that the odor had dissipated; so we proceeded to the gate.  After the passengers disembarked; I talked directly to [Flight Attendant 2] who first reported the event. She informed me of a strong odor in the back of the aircraft that caused her minor eye irritation. No other passengers or dead heading crew reported an odor; so it was likely limited to the aft section of the aircraft.
Aircraft,We first noticed engine thrust surging during climb through 12;000 ft. The aircraft wasn't climbing at a normal rate. Then through 15;000 ft.; N1 on the number 1 engine was observed to be surging between approx 56% N1 and the climb target N1. We elected to level off at FL 190 to troubleshoot. This was difficult due to the absence of EICAS (Engine Indication and Crew Alerting System) messages or abnormalities other than the N1 indications. The engine continued surging on and off for roughly 5 minutes between 56% N1 and the cruise target of about 79% before normalizing. A decision to request priority handling was made and along with our Dispatcher we elected to continue to ZZZ. The flight attendants were briefed on the situation. The rest of the flight was normal until initiating the descent at which time the number 1 engine surged again briefly and normalized again throughout the landing roll. Upon rollout ENG 1 NO DISPATCH EICAS message illuminated. The MX logbook entries were made and MX personnel met the aircraft at the Gate. I'll note that 2 MELs were present on the aircraft; ENG 1 short dispatch and engine 1 bleed system.
Aircraft,Fume event 'dirty sock smell' during descent. At approximately 22;000 ft. we started to smell the typical sock odor. We queried the cabin crew and they reported smelling the odor as well. They also reported the smell as strong and limited to the forward cabin. Odor in the cockpit was light but evident. We did not don masks as the dissipating of the smell started at about 4 minutes. By the time we landed the Captain had a slight headache and light-headedness. Symptoms went away after 30 minutes. FO (First Officer) was pilot flying.
Aircraft,During visual approach into PIT on ILS 32; at 400 feet AGL; tail strike avoid fail and app 2 not avail messages. Continued to safe landing.
Aircraft,Aircraft X; ZZZ; First Officer leg; source on the right side and flaps 3 takeoff Runway XX. On climb out; ZZZ departure; we were assigned a turn and climb (heading 320/15;000 ft.). Climb profile was normal. Flap retraction was occurring normally with the autopilot engaged. After the flap lever was moved to 0 the speed bug remained below the barber pole but the aircraft accelerated. The aircraft then gave the audible 'high speed' alert. Situation was corrected by assuming control; disengaging the autopilot; increasing pitch and reducing thrust. Maintenance and Dispatch were notified through ACARS and a log book entry was made. Situation briefed and priority handling requested due to 0 flap landing. Taxi to Gate and engine shutdown were also uneventful. Inspection by Maintenance revealed no damage to the aircraft.
Environment - Non Weather Related,Arriving into IAH on the DRLLR 5 Runway 26L. Descending on a downwind between 5;000 and 4;000 past ZOEEE; we received a RA flag on the Captain side two separate times. It stayed illuminated for approximately 5 second both times. In the turn to capture the localizer for 26L at approximately 2;500 ft. we got a RA flag on the First Officer side; again; for approx 5 seconds. No other indications or anomalies were noted.
ATC Equipment / Nav Facility / Buildings,5G interferences on takeoff.  Lost both GPS's.  Runway 25 Sleek2 SID;  frequency 128.45 at 6;000 ft. got left GPS invalid.   At 11;700 ft. got right GPS invalid.  A 22;000 feet got Right GPS back; at 25;000 feet got left GPS back.   On initial loss contacted ATC; they gave us heading and altitude.  ATC says this has been going on for a while; also heard other planes in same situation
Airspace Structure,Departing DEN as soon as we took off we lost both GPS systems and Transponder 1 and 2.  Systems returned to normal ops at FL260.  ATC informed us numerous aircraft reporting same issue. On arrival into the airport numerous received spurious TCAS alerts.  TCAS was already set to TA only due to reports from preceding aircraft into airport of TCAS alerts.   Turned off TCAS system and landed safely.  Thrust reverser also showed an issue on taxi in; possibly related.
ATC Equipment / Nav Facility / Buildings,When we checked in with D01 Approach Controller he informed us of some GPS and ADS-B failures occurring near DIA; presumably from 5G interference.  About the time he cleared us for the ILS 35L Approach (23 miles out); both of our GPS's failed; which I reported to him.  When he switched us to Tower at 20 miles; our transponder failed as well; which I also reported.  We landed without event and the failures corrected themselves on the ground.
Ambiguous,Lost both GPS;and both transponders on approach to Denver. Heard four other aircraft have exact same issue. Also had terr pos [warning] on approach. Systems returned on landing.
Environment - Non Weather Related,Passenger experienced extreme pain and bloody urination on descent (10 minutes to landing) .  Was informed (during descent) passenger had some sort of head injury a few days prior. Notified ATC and had medics standing by.  During descent lost both GPS receivers and then transponder as well.  Aircraft parallel conducted a descending RA while on ILS approach in IMC.  Numerous aircraft were reporting erroneous TCAS and GPWS alerts and had lost GPS.  Did not have RNP capability.
Environment - Non Weather Related,On departure out of DCA the RA flag flashed on the Captain's side for less than a second. It was approximately 8;000 ft. over RGIII intersection. No other abnormalities after that; until on approach into IAH on 26L. It happened 3 more times about a second each time at approximately 3;000 ft. and on the 3rd time; the AP disconnected. We notified ATC per the 5G Pilot Bulletin and hand flew the aircraft to a normal landing. After parking at the Gate; I submitted a maintenance write up and called the FODM and Dispatcher and submitted [a report].
Environment - Non Weather Related,While on the LAWGR3 STAR into DEN; we heard two other aircraft report loss of GPS signal.  Then approximately after YUPEE we lost both of our GPS signals.  Our navigation accuracy slowly degraded; to the point we lost terrain displays while in IMC; which is a little concerning near the Rockies.  We regained the GPS signals outside and perpendicular to the DORRY waypoint on the ILS.  By that short time our RNP accuracy degraded from 0.03 to 0.31.  After regaining GPS coverage outside DORRY it quickly came back to 0.03 accuracy.  When cleared for the approach and inside of DORRY the GPS signal dropped again; but since we were established on the ILS was not a big concern.  Had we been on the RNP we would have been unable to accomplish the approach.  We heard another type aircraft report another anomaly and are guessing that this is a 5G interference issue; but not sure.
Environment - Non Weather Related,About 20nm Northeast of DEN on the LAWGR arrival; 12;000 ft. we received a GPS-R fail; then a GPS-L fail. Confirmed failure on FMC NAV-STATUS page. Then we received the 'xnpndr fail' light on transponder. ATC still had us radar contact. Intercepted LOC on [Runway] 35R. Aircraft symbol showed left of course on NAV page; but right on with LOC/GS with Number 1 and 2 VHF as well as Standby. At about 10;000 ft. MSL we got a TERR POS indication momentarily on NAV display. We landed safely on [Runway] 35R; and during rollout and taxi onto P7; GPS and XPNDR came back on with normal ops.
Weather,Captain briefed de-ice crew on ATR de-ice/anti-ice procedures prior to block-out. Aircraft received Type 1 and Type 4 fluid. Runway XXC was assigned and the taxi time was approximately 12 minutes. Aircraft level 2 ice protection was set during before takeoff procedures. On departure; aircraft rotated at Vr and immediately pitched up to high pitch attitude. Captain was the PF (Pilot Flying) and he commanded full nose down pitch trim to no effect. At approximately 1;500 ft MSL; the aircraft ice detection warning was triggered and IMC conditions were entered. PM (Pilot Monitoring) engaged level 3 ice protection. Crew leveled at 3;000 ft AGL; advised ATC; and requested return to [Runway] XXC. PF was using full strength and both hands to maintain a non-stall attitude. PM pressed against the flight controls with his leg to provide additional bracing to aid the PF in leveling the aircraft. Crew executed ILS XXC to land. Upon return to the ramp; significant ice accumulation was found on the aircraft during post flight.   Uncommanded pitch-up after takeoff without PF input. Suspected ineffective de-ice procedure on T-tail horizontal stabilizer and elevators; likely accumulation inhibited pitch trim functionality. Hand flown return to land on ILS XXCDespite the Captain briefing the de-ice crew on procedures and having an outside observer to confirm adequate deice and anti-ice procedures were performed; the T-tail stabilizer is not able to be checked due to the height above ground. This results in flight crews entrusting that de-ice crews performed to standard on a critical flight control surface. Consistent and vigilant de-ice/anti-ice training and certification must take place for all ground crews on all fleet aircraft.
Environment - Non Weather Related,We were preparing to land in Denver; DEN. Its weather was showing 1/4 SM and VV001. We discussed with [the] FO (First Officer) and decided to brief the CAT II Approach checklist. There was no NOTAM affecting the CAT II approach in DEN about the 5G band interference. We reviewed the daily read and crew memo XX-XX about 5G interference. We tested the RA as the procedure required. RA test passed. We were assigned to descend via Runway 35L transition on [the] NIIXX 3 Arrival. We briefed the approach and we also briefed that in case of any RA interference; we could continue the CAT I Approach minimum if the reported RVR is equal to or greater than 1800 RVR. This was how we were trained in the CAT II training in [the] simulator. If the current visibility permits us to continue and land with CAT I minimum; no need to go missed even if we lost the CAT II compatibility. We received the approach clearance and switched to the Tower frequency. Tower advised us that the current visibility is 1800 RVR. We verified that if we will lose our CAT II compatibility; we will continue to CAT I minimums; which were 200 ft. DA(H). We were about 2 NM away from [the] FAF. I asked for gear down; flaps 22; and CAT II landing check. We checked the CAT II annunciator with the CAT II landing checklist; it was green. Autopilot was ON and armed for the approach. As we crossed the FAF; FO stated; 'Altitude checks; no flags.' We were about 1000 AGL - not sure about the exact altitude - and our RA turned into an amber color. As we previously briefed; I stated to continue the approach with CAT I approach minimums since we have enough visibility for [the] CAT I Approach. We were about 300 - 200 AGL and our autopilot failed when [we] were in IMC. It was very unexpected and I felt distracted. I called the go-around. I felt it was the safest decision. We climbed and maintained 7000 ft. as ATC instructed. There was only an Autopilot Fail message on EICAS as much as I remember. FO and I discussed trying to put the autopilot back on to see [if] it was inoperative or not. It was pretty reliable during the 2 hours flight and our overall experience in [the] Aircraft X autopilot rarely fails. We decided to put the autopilot back on. It was working fine. Eventually; we received vectors back to Runway 35R and landed with [the] ILS CAT I Approach. The situation did not repeat. When we got to the parking position. I tested [the] autopilot again; it was working how it was supposed to. I am not sure why we lost the RA and CAT II compatibility. As a crew; we thought it might be related to 5G band interference. I couldn't understand why our autopilot failed in the critical phase of the flight. Autopilot only failed one time in my more than 3 years of experience in Aircraft X. I can say that it is one of the most reliable systems in our plane. I believe it is a big safety concern to lose autopilot at a very low altitude in IMC. I don't know if somehow there is any connection between autopilot failure; 5G band interference; and RA in amber color; or if it is a different issue. I have discussed what happened in this flight with 5 other pilot friends in the company [and] we couldn't find any logical explanation. I believe it is a big safety concern. I recommend doing some studies and testing inflight to learn about 5G interference and our procedures in every aspect; and training our pilots accordingly. I also recommend CAT II operations be suspended temporarily.
Aircraft,During mid-descent; a strong; sweet; musky odor entered the cockpit. At first it was subtle but continued to get strong enough to make the FO (First Officer) slightly nauseated. We continued the descent and made a normal landing. Once we opened the cockpit door at the gate; the flight attendants commented on how strong the odor was coming out of the cockpit.Reporter suggested the cause was something in the packs?
Environment - Non Weather Related,Flt ABC; MIA-ZZZ. At Gate Both Captain & First Officer RA displayed fluctuations 10 to 2 at Gate and during push back. After engine start; RA both displayed -4; but TCAS FAILED was now displayed on both NAV displays and LNAV went active from white (armed) to active green with lateral course display on both PFD's. Aircraft taken out of service by Maintenance. ASAP Filed. Maintenance history on aircraft instruments. Needs to include all aircraft instrument malfunctions and issues with 5g interference/activation.
Environment - Non Weather Related,Operating to BOS; we experienced a radar altimeter anomaly in cruise at FL350. This occurred approximately 20nm east of HRRSH intersection while navigating from HRRSH direct to BUF. Twice; in quick succession; both radar altimeters scanned up and down; along with an aural '500' call from the GPWS system. There was no traffic in proximity to our aircraft on TCAS at this time.In 15 years I've not seen this occur before; and I suspect it to be possible 5G interference and should be looked into further.
Environment - Non Weather Related,During the initial climb out of DEN shortly after take off (once the ECAMS were uninhabited) we got an alert message saying ADSB 1 and ADSB 2 were faulted. We chose to disregard the messages until we were at a safer altitude where we could address them. Once the after take off checklist was completed I addressed the messages. Passing about 10;000 ft. the problem disappeared. The only time I have seen an ADSB problem is when the GPS was jammed or faulted. I'm not sure if this has something to do with the roll out of 5G. We didn't have any problems the rest of the flight.
Ambiguous,After takeoff and through about 8;300 feet both GPS stopped receiving/or jammed signal. All associated equipment that uses GPS stopped functioning. (i.e. Ads-b.) ANP reverted to no GPS accuracy and map shift occurred. We remained in the RNP area for the departure; but just by a couple of; 0.1 nautical miles. GPS signal returned through 16;000 feet. ATC was advised.
ATC Equipment / Nav Facility / Buildings,On departure on the SLEEK 2 RNAV Departure approximately at 7;000 feet turning toward KIDNG intersection lost GPS-L and then GPS-R momentarily.  Not sure what had caused it (maybe 5G).  Denver Departure was asking several questions to other aircraft about the loss of GPS.  After a few seconds GPS was functioning appropriately without any issues on the flight to ZZZ1.
ATC Equipment / Nav Facility / Buildings,While descending into DEN on the CLASH4 STAR near JAAAM intersection at 13;000 ft.; we received a GPS-L Invalid message followed by a GPS-R Invalid message. We noted the FMC was not receiving a GPS signal. We reported the anomaly to Dispatch and ATC who advised us that many other aircraft were encountering similar GPS issues. We continued VMC to landing. After landing I noted my iPad was not receiving a GPS position as well. While taxiing to the gate; both my iPad and the aircraft reacquired a GPS signal.
ATC Equipment / Nav Facility / Buildings,After checking in with Denver Approach;  we were given a descend from 13;000 to 11;000 feet.  As we began the descent;  we received a GPS Primary Lost message on the navigation display and the GPS accuracy went from HIGH to LOW.  We also received the alert message NAV ADS-B RPTG 1 (and 2) FAULT.  Turning onto the final approach course;  the GPS accuracy returned to HIGH; but the ADS-B Fault periodically returned.  We landed the aircraft without any other issues.  Denver stated that it may have something to do with the 5G network.
Aircraft,'GPS invalid' appeared on initial climbout. GPSs returned at 17;000 ft.
ATC Equipment / Nav Facility / Buildings,During descent the aircraft experienced a loss of both ADS-B receiving 1 & 2 and a temporary Terrain display to standby on our NAV display. Loss was accompanied by a Class 2 message alerts which we began to run. Since the message alert requires determining the state of the transponder; I queried the ATC Controller as to the status of our transponder. He stated 'Everything is fine; 5G interference in the vicinity of DEN was reported'. We completed the approach.
ATC Equipment / Nav Facility / Buildings,According to ATC 5G interference is causing GPS and ADS-B anomalies around DEN.  We lost GPS-L; GPS-R; and had an XPNDR FAIL light immediately after takeoff.  GPS-L returned and XPNDER FAIL extinguished after passing FL250 at 90 nautical miles east of DEN.  GPS-R returned after passing FL260 at 103 nautical miles east of DEN.
Environment - Non Weather Related,On descent on the TBARR 3 descending through 13;000 ft we received several spurious ADSB 1 and 2 faults.  Then following these faults we got GPS 1 and 2 faults as well.  Both faults were spurious and continued all the way through descent and approach to the ground.  Maintenance feels that this is a result of the 5G implementation even though we are told that DEN is not affected by 5G.
